Source file,Source sheet,Source row (Excel),Funding economy,Year,economy_code,Recipient country or region,"Title of the project programme, activity or other",Value (USD),Value (USD) notes,Status,Channel,Funding source,Financial instrument,Type of support,Sector,Subsector,Contribution to capacity building objectives,Contribution to technology development and transfer objectives,Additional information,Sector_text1,Sector_text2,Sector_text3,Sector_text4,Sector_text5,Subsector_text1,Subsector_text2,Subsector_text3,Subsector_text4,Subsector_text5
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,763,JAPAN,2022,JPN,Democratic Republic of the Congo,Urban Solid Waste Management (Emphasis on Collection. Transportation and Final Disposal) (B)_01,4736.818478,,Committed,Bilateral,ODA,Grant,Cross-cutting,Water and Sanitation,,Yes,No,Exchange rate is determined based on the date of committement,Water and Sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,794,JAPAN,2022,JPN,Djibouti,Urban Solid Waste Management (Emphasis on Collection. Transportation and Final Disposal) (B)_02,4736.841304,,Committed,Bilateral,ODA,Grant,Cross-cutting,Water and Sanitation,,Yes,No,Exchange rate is determined based on the date of committement,Water and Sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1252,JAPAN,2022,JPN,Guinea,Urban Solid Waste Management (Emphasis on Collection. Transportation and Final Disposal) (B)_03,4736.841304,,Committed,Bilateral,ODA,Grant,Cross-cutting,Water and Sanitation,,Yes,No,Exchange rate is determined based on the date of committement,Water and Sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2894,JAPAN,2022,JPN,Niger,Urban Solid Waste Management (Emphasis on Collection. Transportation and Final Disposal) (B)_04,4736.841304,,Committed,Bilateral,ODA,Grant,Cross-cutting,Water and Sanitation,,Yes,No,Exchange rate is determined based on the date of committement,Water and Sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,823,JAPAN,2022,JPN,Dominican Republic,"Urban Solid Waste Management (Emphasis on Collection, Transportation and Final Disposal) (A)_07",4746.823934,,Committed,Bilateral,ODA,Grant,Cross-cutting,Water and Sanitation,,Yes,No,Exchange rate is determined based on the date of committement,Water and Sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2837,JAPAN,2022,JPN,Nepal,"Urban Solid Waste Management (Emphasis on Collection, Transportation and Final Disposal) (A)_13",4746.823934,,Committed,Bilateral,ODA,Grant,Cross-cutting,Water and Sanitation,,Yes,No,Exchange rate is determined based on the date of committement,Water and Sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3032,JAPAN,2022,JPN,Pakistan,"Urban Solid Waste Management (Emphasis on Collection, Transportation and Final Disposal) (A)_14",4746.823934,,Committed,Bilateral,ODA,Grant,Cross-cutting,Water and Sanitation,,Yes,No,Exchange rate is determined based on the date of committement,Water and Sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,222,JAPAN,2021,JPN,Bhutan,Core Human Resource Development for Road Asset Management (JFY2019)_01,4839.600379,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1037,JAPAN,2021,JPN,Indonesia,Jakarta MRT project Advisor,4910.10806,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,546,JAPAN,2021,JPN,Democratic Republic of the Congo,"Urban Solid Waste Management (Emphasis on Collection, Transportation and Final Disposal) (B)_01",4930.180221,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Water and sanitation,,Yes,No,,Water and sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,930,JAPAN,2022,JPN,Egypt,Comprehensive Urban Transportation Planning_04,4942.367816,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3460,JAPAN,2022,JPN,Rwanda,Comprehensive Urban Transportation Planning_09,4942.367816,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3829,JAPAN,2022,JPN,Tajikistan,Road Maintenance (A)_04,5101.214883,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1605,JAPAN,2021,JPN,Mozambique,Port Maintenance Planning_05,5128.309674,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
