Source file,Source sheet,Source row (Excel),Funding economy,Year,economy_code,Recipient country or region,"Title of the project programme, activity or other",Value (USD),Value (USD) notes,Status,Channel,Funding source,Financial instrument,Type of support,Sector,Subsector,Contribution to capacity building objectives,Contribution to technology development and transfer objectives,Additional information,Sector_text1,Sector_text2,Sector_text3,Sector_text4,Sector_text5,Subsector_text1,Subsector_text2,Subsector_text3,Subsector_text4,Subsector_text5
SWE-CTF-FTC-2024 SWEDEN.xlsx,Table1_2021,596,SWEDEN,2021,SWE,Somalia,Forum Syd Programme in Somalia 2014-2020 - Forum Syd Programme in Somalia strategy 2017-2022,-11362.5529,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Cross-cutting,Other (Government and civil society),"15190   Facilitation of orderly, safe, regular and responsible migration and mobility",UA,UA,SE-0-SE-6-5127000002-SOM-15190,Other (Government and civil society),,,,,"Facilitation of orderly, safe, regular and responsible migration and mobility",,,,
SWE-CTF-FTC-2024 SWEDEN.xlsx,Table1_2022,796,SWEDEN,2022,SWE,India,Forum Syd Programme in Somalia 2014-2020 - Forum Syd Programme in Somalia strategy 2017-2022,-9464.159007,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Cross-cutting,Other (Government and civil society),"15190  Facilitation of orderly, safe, regular and responsible migration and mobility",UA,UA,SE-0-SE-6-5127000002-SOM-15190,Other (Government and civil society),,,,,"Facilitation of orderly, safe, regular and responsible migration and mobility",,,,
GBR-CTF-FTC-2024-V0.1-20240819-163835_started (1) UK.xlsx,Table1_2021,116,UK,2021,GBR,Tanzania,204369 Corridors for Growth,0.009078404,"Value too small, please check original document for unit",Committed,Multi-Bilateral,ODA,Grant,Mitigation,Transport,Transport policy and administrative management,0,0,"To increase Tanzania’s infrastructure for trade in three ways (i) Co-financing the Dar Port expansion together with the World Bank and Tanzania Port Authority will double port capacity and enable Tanzania’s entire trade volume to increase by two thirds. (ii) Project preparation funding for six more major regional transport projects are expected to catalyse up to £600m of development finance incorporating climate resilent design. (iii) Launching a new approach to Public-Private Partnerships will improve infrastructure in municipal areas and build capacity for larger PPP’s in the future.The programme is expected to reduce the costs of doing business in Tanzania, contributing to growth, more jobs and lower poverty. The short-term beneficiaries will be users such as traders, logistics providers and public citizens. International business including from the UK will benefit from better access to trade.In the medium to long run employment is expected to increase from indirect effects.",Transport,,,,,Transport policy and administrative management,,,,
GBR-CTF-FTC-2024-V0.1-20240819-163835_started (1) UK.xlsx,Table1_2021,115,UK,2021,GBR,Tanzania,204369 Corridors for Growth,0.018431912,"Value too small, please check original document for unit",Committed,Multi-Bilateral,ODA,Grant,Adaptation,Transport,Transport policy and administrative management,0,0,"To increase Tanzania’s infrastructure for trade in three ways (i) Co-financing the Dar Port expansion together with the World Bank and Tanzania Port Authority will double port capacity and enable Tanzania’s entire trade volume to increase by two thirds. (ii) Project preparation funding for six more major regional transport projects are expected to catalyse up to £600m of development finance incorporating climate resilent design. (iii) Launching a new approach to Public-Private Partnerships will improve infrastructure in municipal areas and build capacity for larger PPP’s in the future.The programme is expected to reduce the costs of doing business in Tanzania, contributing to growth, more jobs and lower poverty. The short-term beneficiaries will be users such as traders, logistics providers and public citizens. International business including from the UK will benefit from better access to trade.In the medium to long run employment is expected to increase from indirect effects.",Transport,,,,,Transport policy and administrative management,,,,
USA_Support CTF_Dec19 USA.xlsx,Table 1_2021,63,USA,2021,USA,Global,"2021, LASER - Avoid the TRAP: Multi-sector collaboration between health, education and environment to minimize
the impact of traffic-related air pollution (TRAP) on children in Ho Chi Minh City, Vietnam,
2021-2022, Adaptation - Climate Specific",0.134,"Value too small, please check original document for unit",Committed,Multi-Bilateral,ODA,Grant,Adaptation,Other,NR,NR,,,Other,,,,,NR,,,,
GBR-CTF-FTC-2024-V0.1-20240819-163835_started (1) UK.xlsx,Table1_2021,85,UK,2021,GBR,Nepal,203186 Rural Access Programme 3,0.146744154,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,Road transport,0,0,"To improve road access for 800,000 members of rural communities in the Western Region of Nepal, thereby improving economic opportunities and increasing access to markets and social services throughout the year. The project will lift 20,000 people out of poverty through access to work, skill trainings, and will promote equal opportunities for women. The project aims to contribute towards sustainable poverty reduction through investments in high value crops and will lay the foundations for private sector led development in the poorest region in the country. Climate variability and climate change are integrated in building new roads and maintaining existing roads through the programme.",Transport,,,,,Road transport,,,,
GBR-CTF-FTC-2024-V0.1-20240819-163835_started (1) UK.xlsx,Table1_2022,172,UK,2022,GBR,Yemen,"300417 - Yemen: Access, Logistics, Liaison, and Accountability (YALLA) - 2017-20",0.160665425,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Emergency Response,Cross-cutting,0,0,"To provide rapid, specialist, expertise and transportation for the UN to enable a more effective and better coordinated response to the humanitarian crisis in Yemen from 2017 onwards",Emergency Response,,,,,Cross-cutting,,,,
GBR-CTF-FTC-2024-V0.1-20240819-163835_started (1) UK.xlsx,Table1_2021,118,UK,2021,GBR,Rwanda,204495 Support to Trademark East Africa Rwanda (TMEA) Rwanda Country Programme - Strategy II,0.255077854,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,Transport policy and administrative management,0,0,The UK will provide up to £25m (2017 – 2023) to support TMEA's Strategy 2 (S2)  which aims to remove trade-related barriers to inclusive growth in Rwanda and the East African Community (EAC).,Transport,,,,,Transport policy and administrative management,,,,
GBR-CTF-FTC-2024-V0.1-20240819-163835_started (1) UK.xlsx,Table1_2022,87,UK,2022,GBR,Rwanda,204495 - Support to Trademark East Africa Rwanda (TMEA) Rwanda Country Programme - Strategy II,0.316648963,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,Transport policy and administrative management,0,0,The UK will provide up to £25m (2017 – 2023) to support TMEA's Strategy 2 (S2)  which aims to remove trade-related barriers to inclusive growth in Rwanda and the East African Community (EAC).,Transport,,,,,Transport policy and administrative management,,,,
GBR-CTF-FTC-2024-V0.1-20240819-163835_started (1) UK.xlsx,Table1_2021,119,UK,2021,GBR,Rwanda,204495 Support to Trademark East Africa Rwanda (TMEA) Rwanda Country Programme - Strategy II,0.382616781,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Mitigation,Transport,Transport policy and administrative management,0,0,The UK will provide up to £25m (2017 – 2023) to support TMEA's Strategy 2 (S2)  which aims to remove trade-related barriers to inclusive growth in Rwanda and the East African Community (EAC).,Transport,,,,,Transport policy and administrative management,,,,
GBR-CTF-FTC-2024-V0.1-20240819-163835_started (1) UK.xlsx,Table1_2022,88,UK,2022,GBR,Rwanda,204495 - Support to Trademark East Africa Rwanda (TMEA) Rwanda Country Programme - Strategy II,0.474973444,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Mitigation,Transport,Transport policy and administrative management,0,0,,Transport,,,,,Transport policy and administrative management,,,,
GBR-CTF-FTC-2024-V0.1-20240819-163835_started (1) UK.xlsx,Table1_2021,102,UK,2021,GBR,Global,203844 Research on Growth and High Volume Transport in Low Income Countries,0.499387142,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,Transport policy and administrative management,0,0,"To generate robust evidence on the role that different forms of high volume transport play in promoting growth in Low Income Countries in both a rural and urban setting. The research programme will have four themes carrying out engineering and technical research around road and rail strategic corridors, urban transport, low carbon transport and inclusive transport",Transport,,,,,Transport policy and administrative management,,,,
USA_Support CTF_Dec19 USA.xlsx,Table 1_2021,142,USA,2021,USA,Asia Regional,"2021, Air Quality Community of Practice in Urban Maritime Southeast Asia, Adaptation",0.5,"Value too small, please check original document for unit",Committed,Regional,ODA,Grant,Adaptation,Cross-Cutting,NR,NR,,,Cross-Cutting,,,,,NR,,,,
USA_Support CTF_Dec19 USA.xlsx,Table 1_2021,528,USA,2021,USA,Algeria,"2021, Société Algérienne de Gestion du Réseau de Transport de l’Electricité (GRTE) Funding in Algeria, Mitigation",0.59,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Mitigation,Energy,NR,NR,,,Energy,,,,,NR,,,,
GBR-CTF-FTC-2024-V0.1-20240819-163835_started (1) UK.xlsx,Table1_2022,77,UK,2022,GBR,Global,203844 - Research on Growth and High Volume Transport in Low Income Countries,0.616709838,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,Transport policy and administrative management,0,0,"To generate robust evidence on the role that different forms of high volume transport play in promoting growth in Low Income Countries in both a rural and urban setting. The research programme will have four themes carrying out engineering and technical research around road and rail strategic corridors, urban transport, low carbon transport and inclusive transport",Transport,,,,,Transport policy and administrative management,,,,
GBR-CTF-FTC-2024-V0.1-20240819-163835_started (1) UK.xlsx,Table1_2021,103,UK,2021,GBR,Global,203844 Research on Growth and High Volume Transport in Low Income Countries,0.749080713,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Mitigation,Transport,Transport policy and administrative management,0,0,"To generate robust evidence on the role that different forms of high volume transport play in promoting growth in Low Income Countries in both a rural and urban setting. The research programme will have four themes carrying out engineering and technical research around road and rail strategic corridors, urban transport, low carbon transport and inclusive transport",Transport,,,,,Transport policy and administrative management,,,,
USA_Support CTF_Dec19 USA.xlsx,Table 1_2021,340,USA,2021,USA,Ecuador,"2021, Guayaquil Airport Sustainability Plan Technical Assistance, Mitigation",0.85,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Mitigation,Transport,NR,NR,,,Transport,,,,,NR,,,,
USA_Support CTF_Dec19 USA.xlsx,Table 1_2021,567,USA,2021,USA,Brazil,"2021, Technical Assistance for Brazil's National Association of Passenger Rail Operators , Mitigation",0.85,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Mitigation,Transport,NR,NR,,,Transport,,,,,NR,,,,
GBR-CTF-FTC-2024-V0.1-20240819-163835_started (1) UK.xlsx,Table1_2022,78,UK,2022,GBR,Global,203844 - Research on Growth and High Volume Transport in Low Income Countries,0.925064757,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Mitigation,Transport,Transport policy and administrative management,0,0,,Transport,,,,,Transport policy and administrative management,,,,
USA_Support CTF_Dec19 USA.xlsx,Table 1_2021,37,USA,2021,USA,Ecuador,"2021, Quito Electric Bus and Intelligent Transportation System (ITS) Modernization Technical Assistance for the Empresa Publica Metropolitana de Transporte de Pasajeros de Quito (EPMTPQ, Mitigation",0.97,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Mitigation,Transport,NR,NR,,,Transport,,,,,NR,,,,
GBR-CTF-FTC-2024-V0.1-20240819-163835_started (1) UK.xlsx,Table1_2021,221,UK,2021,GBR,Somalia,300650 Unlocking Prosperity in the Horn of Africa,1.06274553,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,Road transport,0,0,"Investment in the Horn of Africa’s to support full and inclusive trade and economic  growth potential of the region by developing and improving key roads, enabling trade cross borders and enhancing local economic development.",Transport,,,,,Road transport,,,,
GBR-CTF-FTC-2024-V0.1-20240819-163835_started (1) UK.xlsx,Table1_2022,192,UK,2022,GBR,Somalia,300650 - Unlocking Prosperity in the Horn of Africa,1.15458597,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,Road transport,0,0,"Investment in the Horn of Africa’s to support full and inclusive trade and economic  growth potential of the region by developing and improving key roads, enabling trade cross borders and enhancing local economic development.",Transport,,,,,Road transport,,,,
USA_Support CTF_Dec19 USA.xlsx,Table 1_2021,349,USA,2021,USA,Global,"2021, Incubating Blended Finance Vehicles for Adaptation, Adaptation",2.5,"Value too small, please check original document for unit",Committed,Multi-Bilateral,ODA,Grant,Adaptation,Cross-Cutting,NR,NR,,,Cross-Cutting,,,,,NR,,,,
GBR-CTF-FTC-2024-V0.1-20240819-163835_started (1) UK.xlsx,Table1_2022,29,UK,2022,GBR,Global, Global Facility to Decarbonise Transport (GFDT),5.502063274,"Value too small, please check original document for unit",Committed,Multi-bilateral,ODA,Grant,Mitigation,Cross-cutting,Transport policy and administrative management,1,0,"The Global Facility to Decarbonise Transport (GFDT) is a World Bank-led programme that aims to build confidence and capability in developing countries to set and deliver new ambition on low carbon transport solutions, in line with the Paris Agreement and the World Bank’s Climate Change Action Plan.
https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-ICF-0043-GFDT/summary",Cross-cutting,,,,,Transport policy and administrative management,,,,
USA_Support CTF_Dec19 USA.xlsx,Table 1_2021,146,USA,2021,USA,Rwanda,"2021, Ampersand Rwanda Ltd. and Ampersand E- Mobility Lt, Mitigation",9,"Value too small, please check original document for unit",Committed,Bilateral,OOF,Concessional loan,Mitigation,Energy,NR,NR,,,Energy,,,,,NR,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1291,JAPAN,2022,JPN,Honduras,Regional Course for Capacity Development of Logistics Management for Central American Economic Integration_04,13.36850587,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2863,JAPAN,2022,JPN,Nicaragua,Regional Course for Capacity Development of Logistics Management for Central American Economic Integration_05,13.36850587,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,221,JAPAN,2021,JPN,Bhutan,Port Management_01,17.73056107,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1450,JAPAN,2021,JPN,Marshall Islands,Port Management_03,17.73056107,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2007,JAPAN,2021,JPN,Nepal,Port Management_04,17.73056107,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2188,JAPAN,2021,JPN,Palau,Port Management_05,17.73056107,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2409,JAPAN,2021,JPN,Philippines,Port Management_06,17.73056107,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2701,JAPAN,2021,JPN,Sri Lanka,Port Management_07,17.73056107,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2852,JAPAN,2021,JPN,Thailand,Port Management_08,17.73056107,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,3121,JAPAN,2021,JPN,Vietnam,Port Management_09,17.73056107,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,668,JAPAN,2022,JPN,Costa Rica,Regional Course for Capacity Development of Logistics Management for Central American Economic Integration_01,20.0527588,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3127,JAPAN,2022,JPN,Panama,Regional Course for Capacity Development of Logistics Management for Central American Economic Integration_06,26.7408161,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1027,JAPAN,2022,JPN,Ethiopia,Development of Urban Road Network_04,70.43003676,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1360,JAPAN,2022,JPN,India,Development of Urban Road Network_05,70.43003676,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1602,JAPAN,2022,JPN,Iraq,Development of Urban Road Network_06,70.43003676,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1637,JAPAN,2022,JPN,Jordan,Development of Urban Road Network_07,70.43003676,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2930,JAPAN,2022,JPN,Nigeria,Development of Urban Road Network_08,70.43003676,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3449,JAPAN,2022,JPN,Rwanda,Development of Urban Road Network_09,70.43003676,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4145,JAPAN,2022,JPN,Uganda,Development of Urban Road Network_10,70.43003676,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1043,JAPAN,2021,JPN,Indonesia,Port Management_02,70.90402172,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2357,JAPAN,2022,JPN,Mozambique,The Project for Improvement of Urban Public Transport System in Maputo_02,78.30124867,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,390,JAPAN,2021,JPN,Cambodia,Maritime Safety Management_02,81.82389708,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,750,JAPAN,2021,JPN,Fiji,Maritime Safety Management_03,81.82389708,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1179,JAPAN,2021,JPN,Kenya,Maritime Safety Management_05,81.82389708,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2187,JAPAN,2021,JPN,Palau,Maritime Safety Management_07,81.82389708,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2511,JAPAN,2021,JPN,Samoa,Maritime Safety Management_10,81.82389708,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2582,JAPAN,2021,JPN,Seychelles,Maritime Safety Management_11,81.82389708,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2851,JAPAN,2021,JPN,Thailand,Maritime Safety Management_12,81.82389708,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2887,JAPAN,2021,JPN,Timor-Leste,Maritime Safety Management_13,81.82389708,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,3120,JAPAN,2021,JPN,Vietnam,Maritime Safety Management_15,81.82389708,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1675,JAPAN,2021,JPN,Multiple countries in Subsahara,Improvement of Port Cargo Transport Efficiency for African Countries_05,82.68491353,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1843,JAPAN,2021,JPN,Multi-regional assistance,Road Asset Management (B)_04,82.68491353,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,948,JAPAN,2022,JPN,El Salvador,Regional Course for Capacity Development of Logistics Management for Central American Economic Integration_02,86.89909251,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,761,JAPAN,2022,JPN,Democratic Republic of the Congo,Development of Urban Road Network_03,140.8638779,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
ITA-CTF-FTC-2024-V1.1-20250328-105338_started ITALY.xlsx,Table1_2021,113,ITALY,2021,ITA,Afghanistan,Call for financial support to international mobility - Financial support to PhD  student ,141.9288605,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Cross-cutting,Other (Education),,Yes,UA,Financial support to PhD student from Afghsanistan- travel expenses for PhD Thesis (field surveys in Afghanistan) ,Other (Education),,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2206,JAPAN,2022,JPN,Micronesia Federation,Road Maintenance (C)_03,142.7280122,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3996,JAPAN,2022,JPN,Timor-Leste,Road Maintenance (C)_07,142.7280122,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4046,JAPAN,2022,JPN,Tonga,Road Maintenance (C)_09,142.7280122,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,823,JAPAN,2021,JPN,Ghana,Road Asset Management (B)_02,146.9969204,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1315,JAPAN,2021,JPN,Liberia,Road Asset Management (B)_03,146.9969204,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2009,JAPAN,2021,JPN,Nepal,Road Asset Management (B)_05,146.9969204,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2471,JAPAN,2021,JPN,Rwanda,Road Asset Management (B)_06,146.9969204,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2751,JAPAN,2021,JPN,Sudan,Road Asset Management (B)_07,146.9969204,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2799,JAPAN,2021,JPN,Tajikistan,Road Asset Management (B)_08,146.9969204,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2994,JAPAN,2021,JPN,Uganda,Road Asset Management (B)_09,146.9969204,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1222,JAPAN,2022,JPN,Guatemala,Regional Course for Capacity Development of Logistics Management for Central American Economic Integration_03,153.7416219,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1841,JAPAN,2021,JPN,Multi-regional assistance,Maritime Safety and Security Policy Program_04,155.3018569,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2536,JAPAN,2022,JPN,"Developing countries, unspecified",Core Human Resource Development for Road Asset Management (JFY2020)_01,160.0682654,"Value too small, please check original document for unit",Committed,Multi-bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2157,JAPAN,2021,JPN,Pakistan,Maritime Safety Management_06,163.6341272,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
